Tonnage,RAP_Percentage,Trip_Distance,Mix_Type,Fuel_Burn_Liters,CO2_Emissions_Tonnes
218.54,47.54,74.54,HMA,3466.1,11.429
94.99,22.96,36.7,WMA,773.83,4.124
486.46,41.62,25.17,WMA,2896.26,14.534
325.24,0.35,7.19,HMA,736.1,12.954
181.47,18.32,48.33,HMA,1921.57,9.617
492.45,23.34,86.69,HMA,8638.25,33.063
477.0,48.28,81.8,HMA,7788.89,25.02
158.46,34.16,62.95,WMA,1998.82,8.234
166.45,33.13,34.61,WMA,1222.02,6.271
64.09,42.11,47.73,WMA,678.56,2.673
464.84,4.42,23.62,HMA,2686.06,22.684
386.29,26.98,60.74,HMA,4892.27,21.082
113.42,40.11,12.08,HMA,362.0,2.62
182.07,0.7,23.89,WMA,1009.05,9.077
83.32,17.92,16.01,HMA,345.08,3.057
92.93,18.54,68.54,HMA,1379.25,6.027
449.25,23.61,16.36,WMA,1818.9,15.351
156.19,12.8,8.84,HMA,398.23,5.346
98.55,1.57,65.46,WMA,1361.85,6.994
112.7,30.22,56.28,HMA,1321.96,5.535
180.39,8.06,93.32,HMA,3439.37,14.185
255.44,10.92,44.57,WMA,2450.0,14.172
453.24,15.9,15.45,HMA,1789.6,16.406
208.66,15.24,20.64,HMA,1019.86,8.225
103.94,16.88,94.58,WMA,1975.4,7.924
231.73,3.24,29.12,WMA,1460.79,11.531
185.4,14.24,8.5,HMA,485.74,6.397
64.87,17.25,65.26,WMA,856.74,3.936
493.54,12.1,68.85,HMA,7097.47,32.234
411.41,23.52,98.43,WMA,8391.9,30.61
425.89,16.04,22.72,HMA,2357.43,17.436
149.11,35.56,81.9,WMA,2574.75,9.081
360.92,19.34,93.99,HMA,7197.57,28.25
144.08,27.07,71.1,HMA,2198.72,8.977
299.84,26.48,27.98,WMA,1956.58,11.652
447.19,9.44,31.49,HMA,3246.1,22.505
449.19,38.99,65.99,HMA,6561.94,24.436
351.04,29.03,40.37,HMA,3165.88,14.964
122.36,27.44,70.73,WMA,1898.73,7.394
58.13,24.69,21.99,WMA,297.24,2.133
345.93,28.42,13.9,HMA,1255.24,10.3
315.44,48.94,51.24,WMA,3479.6,12.587
276.19,28.85,51.79,HMA,2998.5,13.479
307.4,38.43,9.14,WMA,792.24,7.101
461.69,18.51,6.47,WMA,877.65,14.213
307.53,49.02,12.16,HMA,982.39,5.903
192.61,8.47,57.9,HMA,2466.5,12.657
81.69,10.45,68.76,HMA,1145.91,5.418
444.82,37.04,71.22,HMA,6831.32,25.172
183.43,20.99,29.34,WMA,1243.08,7.732
275.68,39.91,66.75,WMA,3816.8,13.691
448.98,1.38,59.99,WMA,5718.79,29.43
259.52,27.13,32.22,WMA,1904.77,10.357
67.48,15.16,56.02,HMA,811.82,4.025
147.12,31.14,13.11,HMA,488.0,4.105
364.78,6.92,17.61,WMA,1520.75,15.295
407.83,13.54,46.7,HMA,4032.59,21.581
86.39,21.42,70.41,HMA,1243.65,5.222
162.61,27.46,72.89,WMA,2582.02,10.256
282.51,32.86,46.39,HMA,2824.22,12.399
210.19,37.89,6.37,WMA,385.77,4.271
190.14,48.98,21.66,WMA,907.2,4.355
263.06,8.66,46.22,HMA,2522.58,15.021
449.01,13.04,6.45,HMA,939.07,15.554
346.41,8.15,11.7,HMA,1136.35,13.969
336.38,40.05,69.33,HMA,5004.13,18.003
295.53,47.07,41.68,HMA,2740.82,10.329
173.28,10.73,40.84,HMA,1490.96,9.111
82.03,15.95,85.26,WMA,1428.28,5.845
273.22,34.64,38.09,HMA,2386.87,11.191
411.57,14.1,21.86,HMA,2142.94,17.152
379.24,6.38,28.75,WMA,2384.89,18.736
436.29,21.45,76.33,HMA,6826.12,28.131
290.45,24.83,42.01,HMA,2778.63,13.693
54.88,45.27,13.67,HMA,202.82,1.219
267.13,24.65,12.91,HMA,884.87,8.272
352.63,37.62,80.2,HMA,5708.81,21.084
488.41,49.8,10.31,HMA,1451.8,8.631
102.68,7.15,77.34,WMA,1714.73,7.841
241.74,11.13,42.68,HMA,2303.54,12.776
88.18,49.33,40.56,HMA,815.64,2.984
458.46,29.59,38.27,WMA,3644.18,19.049
301.28,21.21,91.1,HMA,5693.04,21.824
232.34,28.57,75.39,WMA,3512.37,14.07
385.72,29.17,96.41,HMA,7728.49,27.269
287.77,21.82,81.2,HMA,5133.97,19.725
451.01,26.39,99.33,HMA,9090.58,33.863
83.95,8.31,25.6,HMA,494.65,3.905
312.94,45.06,9.32,WMA,819.38,5.873
227.53,5.34,36.89,WMA,1767.37,11.926
209.01,29.18,12.38,HMA,668.47,5.987
64.54,13.99,44.06,HMA,631.9,3.381
459.92,41.13,95.23,WMA,9127.51,31.135
87.24,43.83,57.4,HMA,1020.54,3.767
414.75,49.36,19.29,HMA,1980.08,9.367
423.12,28.45,11.03,HMA,1261.38,11.905
75.37,43.24,82.23,HMA,1332.23,4.583
313.32,36.31,76.92,HMA,4942.78,18.076
108.12,47.7,62.59,WMA,1476.4,5.122
71.1,13.43,7.11,WMA,146.88,2.432
284.07,42.61,57.43,HMA,3346.54,12.812
315.48,24.0,44.95,HMA,3125.77,15.571
145.83,6.82,6.38,WMA,282.49,5.385
299.67,4.55,74.01,HMA,4681.81,22.353
228.44,31.1,86.92,HMA,4277.4,15.526
428.94,38.45,11.29,HMA,1374.89,10.338
197.94,31.67,27.81,HMA,1264.13,7.063
313.14,20.02,71.28,WMA,4516.12,19.387
453.55,23.7,68.42,WMA,6562.76,27.107
419.81,17.25,38.02,WMA,3318.84,19.252
257.35,10.32,39.61,WMA,2165.78,13.168
91.53,24.06,70.34,WMA,1396.52,5.878
77.49,13.84,81.59,HMA,1339.28,5.823
291.47,46.2,27.43,WMA,1762.18,8.032
386.36,1.83,28.98,HMA,2596.26,20.33
387.33,1.52,87.39,WMA,7040.13,31.078
171.16,18.86,6.91,HMA,386.08,5.247
290.9,11.66,37.58,HMA,2462.34,15.146
274.3,4.35,56.03,WMA,3267.84,17.592
304.01,18.94,37.06,WMA,2483.42,14.279
210.24,49.33,62.55,HMA,2660.48,8.941
214.41,24.39,85.83,WMA,3735.65,14.316
453.54,4.01,54.83,WMA,5367.38,29.782
453.47,28.8,92.15,HMA,8997.06,32.258
126.9,33.43,93.29,HMA,2477.88,8.75
427.36,10.25,96.96,WMA,8497.04,34.875
159.08,5.74,63.01,WMA,2019.62,10.366
469.41,16.03,61.42,WMA,5967.38,27.563
78.52,49.5,35.62,WMA,584.55,2.274
51.22,5.83,49.95,WMA,539.68,3.019
468.29,41.53,96.68,WMA,9759.28,32.984
142.25,18.96,93.01,WMA,2757.65,11.022
112.9,39.76,24.15,WMA,637.74,3.302
156.06,31.69,91.25,HMA,3085.02,10.94
417.47,21.96,40.81,HMA,3787.77,19.924
247.44,28.87,38.76,HMA,2091.47,10.553
457.91,31.21,16.11,WMA,1738.47,13.586
362.17,8.34,88.47,HMA,6720.42,29.316
404.87,7.58,34.61,HMA,3213.79,20.542
142.05,35.7,51.93,WMA,1541.41,6.568
99.78,42.32,17.11,WMA,405.44,2.441
268.86,20.45,78.33,HMA,4489.48,18.547
294.23,12.59,37.84,HMA,2575.18,14.998
152.31,21.18,32.35,HMA,1068.99,6.531
277.65,30.57,6.72,WMA,556.0,6.754
463.44,39.5,7.19,HMA,1000.88,9.713
323.02,21.21,74.96,WMA,5221.53,21.985
105.26,11.8,20.72,WMA,484.78,4.433
441.45,25.94,61.17,HMA,5684.56,24.864
142.51,39.39,62.35,HMA,1871.96,7.064
463.94,17.32,37.96,WMA,3978.98,22.684
64.78,45.64,28.58,HMA,422.06,1.877
461.68,18.12,60.16,WMA,5686.29,26.299
281.83,48.78,48.6,WMA,2895.03,10.256
498.59,25.11,61.56,HMA,6470.58,27.891
409.9,17.47,49.48,HMA,4181.28,21.601
304.18,3.29,78.68,HMA,5043.5,23.308
266.49,24.85,77.71,WMA,4175.11,17.237
475.75,18.67,30.72,WMA,3236.15,20.997
490.52,41.99,87.36,WMA,8464.55,28.396
153.98,33.59,6.87,WMA,305.21,3.611
449.36,27.84,73.48,HMA,6784.16,27.474
435.06,41.51,42.73,HMA,3920.37,16.298
195.8,4.35,65.16,HMA,2629.05,12.886
131.65,29.15,45.04,WMA,1322.15,6.172
201.14,41.26,39.49,HMA,1708.96,7.389
234.24,27.6,46.43,WMA,2259.9,11.15
400.89,5.71,58.75,HMA,5229.59,26.96
241.35,1.12,30.52,WMA,1660.22,12.554
148.11,32.25,45.06,WMA,1433.29,6.393
172.54,0.92,91.86,HMA,3412.06,14.829
80.23,20.26,52.26,WMA,863.76,4.117
111.6,45.0,88.02,WMA,1985.24,6.609
272.42,28.66,84.62,HMA,4772.01,18.058
71.13,8.31,75.11,HMA,1079.43,5.082
80.71,41.85,46.53,WMA,820.41,3.229
304.88,23.8,68.05,WMA,4185.92,17.908
171.46,26.99,20.39,WMA,772.7,5.695
318.58,16.71,78.24,HMA,5158.24,21.705
235.76,35.25,61.84,HMA,3025.59,12.192
